"2015-10-20","10"
"2017-03-04","10"
"2015-01-19","10"
"2015-11-23","10"
"2016-02-21","10"
"2017-03-24","10"
"2016-01-18","10"
"2015-07-29","10"
"2015-06-24","10"
"2017-03-28","10"
"2015-11-30","10"
"2015-12-05","10"
"2016-09-21","10"
"2016-02-11","10"
"2015-12-02","10"
"2017-02-02","10"
"2015-07-30","10"
"2016-11-29","10"
"2017-03-16","10"
"2016-02-06","10"
"2016-07-03","10"
"2017-03-05","10"
"2017-02-27","10"
"2017-02-24","10"
"2015-10-24","10"
"2015-12-22","9"
"2016-02-20","9"
"2015-06-04","9"
"2016-04-17","9"
"2016-12-06","9"
"2016-04-11","9"
"2017-03-15","9"
"2016-10-19","9"
"2017-04-30","9"
"2016-10-16","9"
"2017-01-21","9"
"2016-07-01","9"
"2017-03-31","9"
"2015-06-09","9"
"2015-06-19","9"
"2017-01-30","9"
"2015-11-24","9"
"2016-12-19","9"
"2015-12-17","9"
"2015-06-23","9"
"2016-11-14","9"
"2015-12-03","9"
"2016-11-17","9"
"2015-08-09","9"
"2017-01-10","9"
"2016-08-07","9"
"2017-04-14","9"
"2016-12-10","9"
"2017-04-05","9"
"2017-02-11","9"
"2016-06-08","9"
"2015-07-19","9"
"2017-03-07","9"
"2016-10-11","8"
"2016-08-28","8"
"2015-12-26","8"
"2017-04-04","8"
"2016-09-10","8"
"2017-02-10","8"
"2016-03-24","8"
"2015-10-10","8"
"2016-07-31","8"
"2016-11-15","8"
"2015-11-22","8"
"2015-12-06","8"
"2016-10-29","8"
"2015-10-06","8"
"2016-09-25","8"
"2016-05-20","8"
"2017-01-11","8"
"2017-07-21","8"
"2016-08-04","8"
"2016-12-03","8"
"2016-05-28","8"
"2017-01-19","8"
"2016-03-10","8"
"2016-02-14","8"
"2017-02-26","8"
"2017-04-20","8"
"2016-11-19","8"
"2016-10-10","8"
"2017-05-16","8"
"2015-10-15","8"
"2016-05-05","8"
"2016-01-28","8"
"2017-02-14","8"
"2016-01-30","8"
"2016-01-27","8"
"2016-12-13","8"
"2016-05-15","8"
"2017-02-20","8"
"2017-02-25","8"
"2015-12-31","8"
"2017-03-13","8"
"2015-08-21","8"
"2015-11-16","7"
"2015-06-17","7"
"2017-01-25","7"
"2017-07-08","7"
"2016-01-08","7"
"2016-04-07","7"
"2016-02-13","7"
